RecNo|Submod|Pos|MaxPar|NotP|Runout|NotR|NomT|NotT|MinMach|NotM|Discard|NotD|Finish|NotF
25426|HBK W/ Solid|F|NS||.003||.510||NS||.450||NS|
25429|Sedan W/ Vented|F|NS||.003||.710||NS||.650||NS|
25430|Sedan|R|NS||.003||.394||NS||.331||NS|
25704||F|.0005||.004|048|1.010||.970||.940||15-80|
25725||R|.0005||.003|048|.468||.449||.409|044|15-80|
25742|||.0005||.004||.490||.461||.431||15-80|
25800||F|NS||.003||.940||.912||.882||NS|
25801||R|NS||.003||.390||.361||.331||NS|
26012|W/3800-4000 LBS Axle||.0005||.004||1.190||1.155||1.125||15-80|
26049|W/O 3800-4000LB Axle||.0005||.004||1.250||1.210||1.180||15-80|
26484|||.0005||.003||.433||.390||.374||20-60|045
26486|||.0005||.005||.440||.404||.374||10-50|
26488||R|.0005||.004||.499||.444||.425||10-50|
26581||R|.0005||.004||.499||.439||.425||10-50|
26583|W/ LD Brakes|F|.0005||.004||.885||.830||.815||10-50|
26584|W/ HD Brakes|F|.0005||.004||1.043||.972||.957||10-50|
26613|Sedan W/ HD Brakes|F|.0005||.004||1.043||.972||.957||10-50|
26614|Coupe W HD Brakes|F|.0005||.004||1.043||.972||.957||10-50|
26615|Coupe W/ HD Brakes|F|.0005||.004||.885||.830||.815||10-50|
26616|Sedan W/ LD Brakes|F|.0005||.004||.885||.830||.815||10-50|
26650||R|.0005||.003||.756||.702||.681||10-50|
26710|W/O HD Brakes|F|.0005||.004||.885||.830||.815||10-50|
26729|||.0005||.003||.440||.390||.374||30-80|045
26741|||.0005||.004||.440||.404||.374||10-50|
27025||R|.0005||.004||.500||.441||.429||30-80|045
27026||F|.0005||.004||.445||.390||.374||30-80|045
27063||F|.0005||.003||.756||.702||.681||10-50|
27397||F|.0005||.004||1.043||.980||.965||30-80|
27398||R|.0005||.005||1.043||.986||.956||30-80|
27439||F|.0005||.005||1.043||.980||.965||30-80|
27440||R|.0005||.003||.795||.744||.724||10-50|
27517||F|.0005||.005||1.260||1.244||1.209||30-60|
27549|||NS||.003||.390||NS||.315||NS|
27558|Solid Rotor|F|.0005||.004||.390||NS||.315||NS|
27562|Solid Rotor||.0005||.004||.390||NS||.315||NS|
27616|W/ Performance PKG||.0005||.003||.806||.751||.736||30-60|
27801|FWD|F|.0005||.004||1.040||.984||.972||10-50|
27902||F|.0005||.004||1.039||.987||.972||30-60|
27917||R|.0005||.003||.430||.410||.350||30-60|
27918||F|.0005||.003||1.270||1.250||1.210||30-60|
28121|Solid Rotor||.0004||.004||.500||.420||.380||10-50|
28125|Solid Rotor|F|.0004||.004||.500||.420||.380||10-50|
28136|Vented Rotor||.0004||.004||.945||.877||.866||10-50|
28137|Vented Rotor||.0004||.004||.787||.669||.646||10-50|
28245|||.0005||.005||1.035||.980||.965||10-50|
28247||F|.0005||.005||1.035||.980||.965||10-50|
28329|||.0005||.003||.786||.751||.736||30-60|
28338|2-Door||NS||.0059||.394||.315|||044|NS|
28339|4-Door||NS||.0059||.669||NS||.591||NS|
28342|||.0005||.003||.433||.390||.374||30-80|045
28360|||.0005||.004||1.035||.972||.957||10-50|045
28362|||.0005||.002||1.260||1.224||1.209||30-60|045
28371||R|.001||.003||.433||.410||.350||30-60|045
28372||F|.0005||.003||1.270||1.224||1.210||30-60|045
28387||R|.0008||.002|055|.787||.732||.709||NS|
28388||F|.0008||.002|055|.807||.752||.728||NS|
28405|Nat Aspiration|R|.0008||.002|055|.945||.890||.866||NS|
28406|Nat Aspiration|F|.0008||.002|055|.945||.890||.866||NS|
28407|TURBO|F|.0008||.002|055|1.260||1.205||1.181||NS|
28408|TURBO|R|.0008||.002|055|1.102||1.047||1.024||NS|
28409|W/ TURBO Look|F|.0008||.002|055|1.260||1.205||1.181||NS|
28410|W/ TURBO Look|R|.0008||.002|055|1.102||1.047||1.024||NS|
28424|Naturally Aspirated|R|.0008||.002|055|.945||.890||.866||NS|
28425|W/O TURBO Look|F|.0008||.002|055|.945||.890||.866||NS|
28427|W/O TURBO Look|R|.0008||.002|055|.945||.890||.866||NS|
28430|Naturally Aspirated|F|.0008||.002|055|.945||.890||.866||NS|
28495|Natural Aspiration|R|.0008||.002|055|.941||.890||.866||NS|
28496|Natural Aspiration|F|.0008||.002|055|1.102||1.047||1.024||NS|
28523|TURBO|R|.0008||.002|055|NS||NS||NS||NS|
28524|Natural Aspiration|R|.0008||.002|055|.890||NS||.866||NS|
28525||F|.0008||.002|055|1.260||NS||1.181||NS|
28561|Base|R|.0008||.002|055|.504||.472||.449||NS|
28562|Base|F|NS||NS||.512||.472||.453||NS|
28563|Sport|F|.0008||.002|055|.807||.756||.728||NS|
28564|Sport|R|.0008||.002|055|.785||.752||.728||NS|
28574|Turbo|F|NS||NS||.512||.472||.453||NS|
28577|Turbo|R|.0008||.002|055|.504||.472||.449||NS|
28590||R|.0008||.002|055|.787||.756||.732||NS|
28591|Grooved Rotor||.0008||.002||.807||.752||.728||NS|
28592|Sliding Caliper|F|.0008||.002|055|.787||.756||.732||NS|
28593|Floating Caliper|F|.0008||.002|055|1.260||1.229||1.205||NS|
28618||F|.0008||.002|055|1.260||1.205||1.181||NS|
28619||R|.0008||.002|055|.945||.890||.866||NS|
28661|S2|F|.0008||.002|055|1.102||1.047||1.024||NS|
28662|S2|R|.0008||.002|055|.945||.890||.866||NS|
28668||F|.0008||.002|055|1.102||1.047||1.024||NS|
28670||R|.0008||.002|055|.940||.890||.866||NS|
28671|W/O Sport PKG|F|.0008||.002|055|1.100||1.047||1.024||NS|
28672|W/ Sport PKG|F|.0008||.002|055|1.260||1.205||1.181||NS|
28682|S|R|.0008||.001|064|.945||NS||.866||NS|
28683|S|F|.0008||.001|064|1.102||NS||1.024||NS|
28684|Base|F|.0008||.001|064|.945||.890||.866||NS|
28685|||NS||.0028||.472||NS||.433||NS|
28739|TURBO||NS||.0028||.787||NS||.709||NS|
28740|Natural Aspiration||NS||.0028||.472||NS||.433||NS|
28753|||NS||.0028||.394||NS||.354||NS|
28775|||NS||.0028||.787||NS||.709||NS|
28782||F|.0006||.004||.500||.460||.441||NS|
28783||R|.0006||.004||.410||.370|||044|NS|
28786||F|.0006||.003||.500||.460||.441||NS|
28816|Vented Rotor|F|.0006||.003||.790||.740|||044|NS|
28817|Solid Rotor|F|.0006||.003||.500||.460||.441||NS|
28818||R|.0006||.004||.410||.360|||044|NS|
28837||R|.0006||.003||.350||.300||.276|044|NS|
28838||F|.0006||.003||.930||.850|||044|NS|
28877||R|.0006||.003||.390||.330||.310|044|NS|
28878||F|.0006||.003||.940||.890||.870|044|NS|
28901||F|.0006||.003||.980||.910|||044|NS|
28902||R|.0006||.003||.390||.330||.310||NS|
28907|30 Vane Rotor|F|.0006||.0031||.866||.787||.768||NS|
28908|60 Vane Rotor|F|.0006||.0031||.866||.807|||044|NS|
28909||R|.0006||.0039||.354||.295||.276||NS|
28910||R|.0006||.003||.350||.300||.276||NS|
28912|TURBO|R|.0006||.003||.350||.300||.276||NS|
28913|TURBO|F|.0006||.003||.980||.910|||044|NS|
28914|Natural Aspiration|R|.0006||.003||.350||.300||.276||NS|
28915|Natural Aspiration|F|.0006||.003||.930||.850|||044|NS|
28932||R|.0006||.0031||.354||.295||.276||NS|
28933||F|.0006||.0031||.980||.906|||044|NS|
29031||R|.0006||.0039||.413||.374|||044|NS|
29037||F|.0006||.0039||.500||.461||.441||NS|
29048||R|.0005||.0024||.440||.370||.350||NS|
29049||F|.0005||.0024||.710||.633||.625||NS|
29061||R|.0005||.0024||.430||.370||.350||NS|
29122|||NS||.0039||.492||NS||.394||NS|
29127|Vented Rotor||NS||.0039||.709||NS||.630||NS|
29128|Solid Rotor||NS||.0039||.492||NS||.394||NS|
29160|Vented Rotor||NS||.0039||.709||NS||.610||NS|
29172||R|NS||.0039||.394||NS||.335||NS|
29247|Solid Rotor|F|NS||.0039||.492||NS||.394||NS|
29248|Vented Rotor|F|NS||.0039||.709||NS||.630||NS|
29289||R|NS||.0028||.394||NS||.335||NS|
29290|L, L Plus|F|NS||.0028||.709||NS||.630||NS|
29291|LS, All 4WD|F|NS||.0028||.945||NS||.866||NS|
29344|||NS||.0028||.945||NS||.866||NS|
29351|||NS||.0059||.709||NS||.610||NS|
29356||F|NS||.0059||.709||NS||.610||NS|
29373||F|NS||.0030||.945||NS||.866||NS|
29374|TURBO|R|NS||.0029||.709||NS||.630||NS|
29584||F|NS||.0029||1.102||NS||1.024||NS|
29585||R|NS||.0029||.394||NS||.335||NS|
29612|6-Cyl|F|NS||.0039||.866||NS||.787||NS|
29614|4-Cyl|F|NS||.0039||.709||NS||.630||NS|
29693|||NS||.0039||.788||NS||.709||NS|
29699|||NS||.0059||.394||NS||.334||NS|
29702||F|NS||.0059||.394||NS||.334||NS|
29710|4-Door|F|NS||.0059||.669||NS||.590||NS|
29711|2-Door|F|NS||.0059||.394||NS||.315||NS|
29714|4-Door||NS||.0059||.669||NS||.590||NS|
29715|2-Door||NS||.0059||.394||NS||.315||NS|
29766|GLX|F|NS||.0039||.669||NS||.590||NS|
29767|GTI|R|NS||.0039||.394||NS||.315||NS|
29768|GTI|F|NS||.0039||.730||NS||.650||NS|
29772|GL||NS||.0039||.669||NS||.590||NS|
29773|GT||NS||.0039||.669||NS||.590||NS|
29774|L||NS||.0039||.669||NS||.590||NS|
29775|GA||NS||.0039||.669||NS||.590||NS|
29778|S||NS||.0039||.669||NS||.590||NS|
29779|GLX||NS||.0039||.669||NS||.590||NS|
29780|GS||NS||.0039||.669||NS||.590||NS|
29948|Base||NS||.0039||.669||NS||.590||NS|
29962|||NS||.0059||.394||NS||.315||NS|
29963|||NS||.0059||.492||NS||.453||NS|
29966|||NS||.0059||.787||NS||.748||NS|
29976||F|NS||.0059||.787||NS||.709||NS|
29982|FM 6/91||NS||.0035||.984||NS||.906||NS|
29983|To 5/91||NS||.0059||.787||NS||.709||NS|
29986|||NS||.0035||.984||NS||.906||NS|
29994|||NS||.0028||.866||NS||.787||NS|
30000||R|NS||.0059||.354||NS||.315||NS|
30012|||NS||.0059||.866||NS||.827||NS|
30023|To 4/87|F|NS||.0051||.866||NS||.827||NS|
30025|FM 5/87|F|NS||.0028||.984||NS||.945||NS|
30029||F|NS||.0028||.984||NS||.945||NS|
30085||F|NS||.0020||1.102||NS||1.024||NS|
30161|||NS||.0059||.394||NS||.354||NS|
30184||F|NS||.0059||.866||NS||.827||NS|
30194|2WD, W/O ABS|F|NS||.0028||.866||NS||.827||NS|
30195|2WD, W/ ABS|F|NS||.0028||.984||NS||.945||NS|
30197|4WD|F|NS||.0028||.984||NS||.945||NS|
30226|W/ ABS|F|NS||.0028||.984||NS||.906||NS|
30227|W/O ABS|F|NS||.0028||.866||NS||.787||NS|
30283|2.2L|F|NS||.0019||1.102||NS||1.024||NS|
30284|1.8L|F|NS||.0019||.984||NS||.906||NS|
30344|RWD|F|NS||.0059||.709||NS||.669||NS|
30345|RWD|R|NS||.0059||.394||NS||.354||NS|
30346|FWD||NS||.0059||.531||NS||.492||NS|
30393||F|NS||.0035||.709||NS||.669||NS|
30414|Base|F|NS||.0035||.709||NS||.669||NS|
30415|SRS|F|NS||.0035||.709||NS||.669||NS|
30416|DLX|F|NS||.0035||.709||NS||.669||NS|
30417|SRS All Trac|F|NS||.0035||.709||NS||.669||NS|
30418|DLX All Trac|F|NS||.0035||.709||NS||.669||NS|
30419|GTS|F|NS||.0035||.866||NS||.827||NS|
30421|LE|F|NS||.0035||.709||NS||.669||NS|
30517|SRS All-Trac|F|NS||.0035||.709||NS||.669||NS|
30518|DLX All-Trac|F|NS||.0035||.709||NS||.669||NS|
30519|LSX|F|NS||.0035||.709||NS||.669||NS|
30560|||NS||.0020||.866||NS||.787||NS|
30612||F|NS||.0028||.866||NS||.827||NS|
30613||R|NS||.0051||.709||NS||.669||NS|
30633|||NS||.005||.788||NS||.748||NS|
30638|||NS||.0047||.787||NS||.748||NS|
30655||F|NS||.0047||.787||NS||.748||NS|
30657|||NS||.0059||.984||NS||.906||NS|
30675||F|NS||.0059||.709||NS||.669||NS|
30678||F|NS||.0051||.866||NS||.827||NS|
30688|2 Piston Caliper|F|NS||.0039||1.181||NS||1.120||NS|
30689|2 Piston Caliper|R|NS||.0039||.866||NS||.828||NS|
30690|1 Piston Caliper|R|NS||.0028||.627||NS||.591||NS|
30691|1 Piston Caliper|F|NS||.0028||.984||NS||.945||NS|
30728|||NS||.0035||.709||NS||.669||NS|
30743|2WD, C&C||NS||.0059||.492||NS||.453||NS|
30744|4WD||NS||.0059||.492||NS||.453||NS|
30745|2WD, Others||NS||.0059||.787||NS||.748||NS|
30782|2WD, PD-60 Type||NS||.0039||.984||NS||.945||NS|
30783|2WD, FS-17 Type||NS||.0059||.866||NS||.827||NS|
30824|2WD, Others||NS||.0059||.866||NS||.827||NS|
30825|4WD||NS||.0059||.787||NS||.748||NS|
30826|2WD; C&C, 1-ton||NS||.0059||.983||NS||.945||NS|
30896|2WD, Others|F|NS||.0035||.866||NS||.787||NS|
30897|2WD, 1 Ton, SRW|F|NS||.0035||.984||NS||.906||NS|
30898|4WD|F|NS||.0035||.787||NS||.709||NS|
30899|2WD, 1 Ton, DRW|F|NS||.0047||1.177||NS||1.102||NS|
30900|2WD, C&C, SRW|F|NS||.0035||.984||NS||.906||NS|
30901|2WD, C&C, DRW|F|NS||.0047||1.177||NS||1.102||NS|
30920|2WD, Others||NS||.0035||.866||NS||.787||NS|
30921|2WD, 1 Ton, SRW||NS||.0035||.984||NS||.906||NS|
30922|4WD||NS||.0035||.787||NS||.709||NS|
30923|2WD, C&C, DRW||NS||.0047||1.177||NS||1.102||NS|
30924|2WD, 1 Ton, DRW||NS||.0047||1.177||NS||1.102||NS|
30925|2WD, C&C, SRW||NS||.0035||.984||NS||.906||NS|
31100|FM 5/90, 1 Piston|F|NS||.0028||.866||NS||.787||NS|
31101|To 4/90|F|NS||.0028||.866||NS||.827||NS|
31102||R|NS||.0039||.709||NS||.669||NS|
31103|FM 5/90, 2 Piston|F|NS||.0028||.984||NS||.906||NS|
31109|1 Piston Caliper|F|NS||.0028||.866||NS||.787||NS|
31110|2 Piston Caliper|F|NS||.0028||.984||NS||.906||NS|
31136||R|NS||.0039||.709||NS||.650||NS|
31141|||NS||.0019||.709||NS||.630||NS|
31149||F|NS||.0059||.492||NS||.453||NS|
31153||F|NS||.0059||.790||NS||.750||NS|
31154||R|NS||.0059||.710||NS||.670||NS|
31185|Natural Aspiration|F|NS||.0019||1.260||NS||1.181||NS|
31186||R|NS||.0019||.630||NS||.591||NS|
31187|TURBO|F|NS||.0019||1.181||NS||1.102||NS|
31200|4WD||NS||.0028||.984||NS||.906||NS|
31201|2WD, 1/2 Ton||NS||.0028||.984||NS||.906||NS|
31202|2WD, 1 Ton||NS||.0035||.984||NS||.906||NS|
31245|2WD|F|NS||.0028||.866||NS||.787||NS|
31273|||NS||.0059||.433||NS||.394||NS|
31294||F|NS||.0059||.433||NS||.394||NS|
31318|||NS||.0028||.709||NS||.630||NS|
31325|2WD||NS||.0059||.787||NS||.748||NS|
31326|4WD||NS||.0059||.984||NS||.945||NS|
31343|4WD|F|NS||.0059||.984||NS||.945||NS|
31344|2WD|F|NS||.0059||.787||NS||.748||NS|
31349|||NS||.007||.394||.375||.335||NS|
31367|Vented Rotor|F|NS||NS||.788||NS||.709||NS|
31368|Solid Rotor|F|NS||NS||.472||NS||.394||NS|
31384||R|NS||.0024||.394||NS||.315||NS|
31385||F|NS||.0024||.787||NS||.708||NS|
31424||R|.0011||.0024||.394||NS||.315||NS|
31425||F|.0011||.0024||.866||NS||.788||NS|
31456|||NS||.0024||.472||.413||.393||NS|
31462|||.0007||.003||.709||NS||.591||NS|
31477|||NS||.0024||.472||NS||.393||NS|
31481||F|NS||.0024||.472||NS||.393||NS|
31501|Solid Rotor||NS||.0024||.472||NS||.393||NS|
31502|Vented Rotor||NS||.012||.787||NS||.708||NS|
31514|Vented Rotor||NS||.0024||.787||NS||.708||NS|
31527|Solid Rotor|F|NS||.0024||.472||NS||.393||NS|
31528|Vented Rotor|F|NS||.012||.787||NS||.708||NS|
31540|Vented Rotor|F|NS||.0024||.787||NS||.708||NS|
31587|Solid Rotor|F|.0004||NS||.472||NS||.394||NS|
31588|Vented Rotor, V6|F|.0011||.002||.866||NS||.787||NS|
31590|Vented Rotor, 4-Cyl|F|.0004||.012||.788||NS||.709||NS|
31600|Solid Rotor|F|.0004||.012||.472||NS||.394||NS|
31601||R|NS||NS||.374||NS||.315||NS|
31627|Vent Rtr V6, Late|F|.0011||.002||.985||NS||.906||NS|
31629|Vent Rtr V6, Early|F|.0011||.002||.866||NS||.787||NS|
31698|Vented Rotor|F|NS||NS||.787||NS||.709||NS|
31709|W/ Girling Caliper|F|NS||NS||.866||NS||.787||NS|
31711|W/ Teves/Ate Caliper|F|NS||NS||.984||NS||.906||NS|
31733|Solid Rotor||NS||.0024||.472||.413||.393||NS|
31734|Vented Rotor||NS||.0024||.787||.728||.709||NS|
31999|Vented Rotor, V6|F|.0011||.002||.985||NS||.906||NS|
32070||F|.0004||.0012||.788||NS||.709||NS|
32080||R|NS||.002||.394||NS||.315||NS|
32081|Solid Rotor, Girling|F|NS||NS||.512||NS||.433||NS|
32082|ATE or Teves Caliper|F|.0004||.012||.985||NS||.906||NS|
32083|Vent Rotor Girling|F|.0004||.012||.788||NS||.709||NS|
32168|4-Cyl|F|.0009||.0024||.472||NS||.394||NS|
32169|5-Cyl|F|.0009||.0024||.787||NS||.709||NS|
32170||R|NS||.0024||.390||NS||.315||NS|
32316|||NS||.0039||.512||.453||.433||NS|
32317|||NS||NS||.591||NS||.512||NS|
32320||F|NS||NS||.591||NS||.512||NS|
32422||R|.0008||.0039||.378||NS||.330||NS|
32423|Vented Rotor, ATE|F|.0008||.0039||.945||.898|||044|NS|
32424|Solid Rotor|F|.0008||.0039||.563||.518||.500||NS|
32425|Vented Rotor, Girl.|F|.0008||.0039||.866||.819||.803||NS|
32862|Vented Rotor|F|.0003||.0031||.866||NS||.787||NS|
32863|Solid Rotor|F|.0003||.0031||NS||NS||.433||NS|
32864||R|.0005||.0039||.378||NS||.331||NS|
32877||F|.0003||.0014||.866||NS||.787||NS|
32878||R|.0005||.0039||.378||NS||.330||NS|
32893|W/ ABS|F|.0003||.0014||1.024||NS||.906||NS|
32895|Non-ABS|F|.0003||.0014||.866||NS||.787||NS|
32954||R|.0003||.0031||.394||NS||.315||NS|
32965||R|.0005||.002||.378||NS||.330||NS|
32978||F|.0003||.0014|059|1.024||.937||.906||NS|
32979||R|.0003||.0019|060|.378||.350||.331||NS|
32998|||NS||.0059||.421||.368||.354||NS|
33001||F|NS||.0059||.421||.368||.354||NS|
33766|||.0006||.004||.905||.827|||044|NS|
33767||R|.0004||.002||.793||NS||.736||16-91|
33768||F|.0005||.003||.939||NS||.881||15-80|
33818||R|.0005||.006||1.020||.980||.965||30-60|
33819||F|.0005||.005||1.260||1.223||1.209||30-60|
33822|||.0005||.003||.786||.751||.736|||
33864|||.0004||.004||.661||NS||.591||NS|
33893||F|.0004||.002||1.163||1.010|||044|10-80|
33894||R|.0004||.002||.560||.520|||044|10-80|
33940|DOHC|R|NS||.002||.350||.310||.280||NS|
33941|SOHC|F|NS||.004||.866||.820||.790||NS|
33942|DOHC|F|NS||.002||.866||.820||.790||NS|
33943|SOHC|R|NS||.004||.350||.310||.280||NS|
33954||R|.0002||.005||NS||NS||.433||NS|
33955||F|.0002||.005||1.024||NS||.965||NS|
33975|||.0004||.003||1.023||NS||.960||NS|
34072||F|.0005||.002||1.150||NS||1.090||NS|
34073||R|.0005||.002||.472||NS||.400||NS|
34074||F|.0035||.002||1.063||1.010|||044|10-80|
34080||F|NS||NS||1.102||1.024||1.000||NS|
34081||R|NS||NS||.394||.346||.327||NS|
34084||F|.0004||.002||1.063||1.010|||044|10-80|
34086||F|.0002||.005||1.024||.965|||044|NS|
34087||R|.0002||.005||NS||.433|||044|NS|
34115||R|.0005||.006||1.020||.985||.970||30-60|
34646|Nat Aspir & V6|R|NS||NS||.394||NS||.315||NS|
34647|TURBO & V8|F|NS||NS||1.181||NS||1.102||NS|
34648|Nat Aspir & V6|F|NS||NS||.984||NS||.906||NS|
34649|TURBO & V8|R|NS||NS||.866||NS||.787||NS|
34706||F|.0005||.003||1.27||1.224||1.21||30-60|
34717||R|.0005||.002||.443||.404||.354||30-60|
34719|Commercial Chassis|R|.0005||.002||.433||.404||.354||30-60|
34720|Limousine|R|.0005||.002||.433||.404||.354||30-60|
34721||R|.0005||.002||.433||.404||.354||30-60|
34758|||.0005||.002||.866||||.787||NS|
34762|2-Door||.0005||.006||.394||NS||.315||NS|
34763|4-Door||.0005||.006||.670||NS||.590||NS|
34768||R|.0005||.003|048|.458||.409|||044|15-80|
34769||F|.0005||.003|048|1.019||.960|||044|15-80|
34798|||.0005||.004||1.245||NS||1.180||15-80|
34935|V6|F|.0006||.004||.905||.827|||044|NS|
34936|V6|R|.0006||.004||.354||.315|||044|NS|
34937|4-Cyl|R|.0006||.004||.394||.315|||044|NS|
34938|4-Cyl|F|.0006||.004||.905||.830|||044|NS|
34997|W/ 4-Wheel Disc|R|.0005||.004||.787||.735||.726||30-60|
34999|W/ 4-Wheel Disc|F|.0003||.003||1.142||1.134||1.086||30-60|
35015|W/O Brembo Brakes|F|NS||.004||1.102||NS||1.024||NS|
35016|W/ Brembo Brakes|R|NS||.001||1.102||NS||1.024||NS|
35017|W/ Brembo Brakes|F|NS||.002||1.260||NS||1.181||NS|
35018|W/O Brembo Brakes|R|NS||.006||.768||NS||.728||NS|
35044||R|NS||.002||.472||NS||.413||NS|
35058||F|NS||.0039|052|.945||.898|053|.866||NS|
35059||R|NS||.0039|052|.394||.354|053|.315||NS|
35066|||.0004||.003||1.024||NS||.964||NS|
35090|4Matic Wagon|F|NS||NS||1.102||1.024||1.000||NS|
35091|4Matic Wagon|R|NS||NS||.472||.413||.386||NS|
35096|Up To 6/1999|R|NS||NS||.394||.346||.327||NS|
35097|Up To 6/1999|F|NS||NS||1.102||1.024||1.00||NS|
35098|Standard|F|NS||.005||.984||.906||.882||NS|
35099|Standard|R|NS||.004||.590||.532||.512||NS|
35100|Optional|F|NS||NS||1.260||1.181||1.157||NS|
35101|Optional|R|NS||NS||.557||.492||.472||NS|
35170|3.0L, 2WD||NS||.0028||1.024||.945|||044|NS|
35171|2.4L, 2WD||NS||.0028||.866||.787|||044|NS|
35236|Base|R|.0008||.001|064|.787||.732||.709||NS|
35285||F|NS||.0019||1.102||NS||1.024||NS|
35287|||NS||.0020||1.102||NS||1.024||NS|
35338|Teves|F|.0004||.012||.985||NS||.906||NS|
35339|Lucas|F|.0004||.012||.866||NS||.788||NS|
35419||F|NS|||100|NS|||098|.803|||099
35452|Vented Rotor|R|NS|||100|NS||NS|047|.685|||099
35453|Solid Rotor|R|NS|||100|NS||NS|047|.331|||099
35454||F|NS||NS||NS||NS|047|.803|||099
35483|W/ 10 Inch Drum|F|.0005||.003||1.142||1.102||1.083||30-60|
35484|W/ 13 Inch Drum|F|.0005||.003||1.142||1.102||1.083||30-60|
35485|W/ 11.156 Inch Drum|F|.0005||.003||1.142||1.102||1.083||30-60|
35587||F|.0005||.003||1.142||1.102||1.083||30-60|
35588||R|.0005||.003||.787||.748||.728||30-60|
35593||F|.0005||.003||1.500||1.457||1.437||30-60|
35594|HD Brakes|R|.0005||.003||1.535||1.480||1.465||30-60|
35595|LD Brakes|R|.0005||.003||1.141||1.102||1.083||30-60|
35600|2-Door||.0005||.006||.670||NS||.590||NS|
35664|||.001||.005||1.584||NS||1.523||15-80|
35694||F|.0005||.003||1.185||NS||1.102||NS|
35719|2WD HD|F|.0004||.003||1.150||NS||1.090||NS|
35720||R|.0005||.002||.532||NS||.480||NS|
35721|4WD LD|F|.0004||.003||1.024||NS||.965||NS|
35734||R|NS||.0015||1.181||NS||1.102||NS|
35735|2WD|F|NS||.002||1.500||NS||1.417||NS|
35736|4WD|F|NS||.0015||1.500||NS||1.417||NS|
35749||R|NS||.0015||1.500||NS||1.417||NS|
35750||F|NS||.0015||1.500||NS||1.417||NS|
35757||R|.0004||.004||.551||.502|||044|10-80|
35774||F|.0004||.002||1.020||NS||.980|044|15-125|
35860||R|.0005||.003||1.141||1.102||1.083||30-60|
35886|||.0006||.004||.933||.827|||044|NS|
35896||F|.0004||.0031||.945||NS||.882||NS|
35897||R|NS||.0039||.394||NS||.334||NS|
35902||R|.0004||.0028||.394||.315|||044|NS|
35941|Series II|R|NS||.006||.496||NS||.460||NS|
35942|SERIES I|R|NS||.006||.496||NS||.472||NS|
35943|Series II|F|NS||.006||.984||NS||.866||NS|
35944|SERIES I|F|NS||.006||NS||NS||.472||NS|
35946||R|NS||.006||.496||NS||.460||NS|
35955||F|NS||.0028||1.260||NS||1.181||NS|
35956||R|NS||.0040||.709||NS||.611||NS|
35973||F|NS||.002||.787||.740|053|.709||NS|
35974||R|NS||.002||.354||.331|053|.315||NS|
35979|1.8L|F|.0006||.002||.995||.898|053|.866||NS|
35980|1.6L|F|.0006||.002||.866||.819|053|.787||NS|
35987||R|NS||NS||.866||.787||.764||NS|
35988||F|NS||NS||1.260||1.220||1.197||NS|
35991|(208)|F|NS||NS||1.102||1.024||1.000||NS|
35992|(208)|R|NS||NS||.394||.347||.327||NS|
35993|As Of 7-1999|F|NS||NS||1.260||1.220||1.197||NS|
35994|As Of 6-1999|F|NS||NS||1.102||1.024||1.000||NS|
35995|As Of 7-1999|R|NS||NS||.866||.787||.764||NS|
35996|As Of 6-1999|R|NS||NS||.394||.347||.327||NS|
36001|As Of 7/1999|R|NS||NS||.866||.787||.764||NS|
36002|As Of 7/1999|F|NS||NS||1.260||1.220||1.197||NS|
36025||F|.0006||.003||.950||.870|||044|NS|
36047||F|.0004||.003||1.024||.975||.945||NS|
36089||F|.001||.0015||1.031||.980||.972||30-60|
36102||F|.0005||.002||1.268||1.248||1.209||30-60|
36148||F|.0005||.003||1.270||1.224||1.209||30-60|045
36151||R|.0008||.001|064|.945||.890||.866||NS|
36152||F|.0008||.001|064|1.102||1.047||1.024||NS|
36157||R|.0006||.003||.390||.330||.320|044|NS|
36158||F|.0006||.003||.984||.925||.870|044|NS|
36180|||NS||.0059||.866||NS||.787||NS|
36184|1.6L & 2.0L||NS||.0059||.669||NS||.591||NS|
36185|2.5L||NS||.0059||.866||NS||.788||NS|
36203|Coupe|R|NS||.0059||.394||NS||.354||NS|
36208|FN3 Caliper|F|NS||NS||.985||NS||.866||NS|
36209|FSIII Caliper|F|NS||NS||.866||NS||.784||NS|
36210|C38 15" Diameter|R|NS||NS||.394||NS||.315||NS|
36220|16" FNR|F|NS||NS||1.024||NS||.866||NS|
36221|15"  LucAs RC54,C54|F|NS||NS||.709||NS||.591||NS|
36222|16" FN3|F|NS||NS||.945||NS||.788||NS|
36223|16"|R|NS||NS||.531||NS||.453||NS|
36224|15"  Lucas  FN3|F|NS||NS||.945||NS||.788||NS|
36225|15"|R|NS||NS||.472||NS||.394||NS|
36232|V6|F|NS||NS||.985||NS||.866||NS|
36233|4-Cyl|F|NS||NS||.866||NS||.748||NS|
36234||R|NS||NS||.354||NS||.276||NS|
36250|Solid Rotor|R|NS||NS||.354||NS||.276||NS|
36251|2FN|F|NS||NS||1.260||NS||1.181||NS|
36252|Vented Rotor|R|NS||NS||.866||NS||.787||NS|
36253|FN3|F|NS||NS||.984||NS||.906||NS|
36254|Up To 9/2002|F|NS||NS||1.102||1.024||1.000||NS|
36255|Up To 9/2002|R|NS||NS||.866||.807||.764||NS|
36256|||NS||.0028||1.102||NS||1.024||NS|
36264||F|NS||NS||NS||NS|047|1.197||NS|
