RecNo|Submod|Pos|MaxPar|NotP|Runout|NotR|NomT|NotT|MinMach|NotM|Discard|NotD|Finish|NotF
82114|W/ 1 PISTON|F|.0006||.0014|213|1.260||1.181||NS||NS|
82162|W/ 3.0L|F|NS||.003|012|1.18||NS||1.14||NS|
82163|5.0L W/ Supercharge|F|NS||.003|012|1.42||NS||1.34||NS|
82164|5.0L W/O Supercharge|F|NS||.003|012|1.26||NS||1.18||NS|
82165|W/ Supercharged|R|NS||.004|012|1.02||NS||0.94||NS|
82166|All Ex. Supercharged|R|NS||.004|012|0.79||NS||0.72||NS|
82167||F|NS||.003|012|1.42||NS||1.34||NS|
82168||R|NS||.004|012|1.02||NS||0.94||NS|
82170|W/ STANDARD BRAKES|R|NS||.003||.787||NS||.720||NS|
82201|W/ Performance Brake|F|NS||.003||1.417||NS||1.338||NS|
82202|W/ Performance Brake|R|NS||.004||1.023||NS||.944||NS|
82203|W/ Standard Brakes|F|NS||.003||1.260||NS||1.181||NS|
82204|W/ STANDARD BRAKES|R|NS||.004||.787||NS||.708||NS|
82216||R|NS||.006||.394||NS||.335||NS|
82221||F|NS||.002|204|.787||NS||.709||NS|
82224||F|NS||.002|204|.866||NS||.748||NS|
82245|WRX STI Brembo|F|NS||.0030|266|1.180||NS||1.100||NS|
82246|WRX STI Brembo|R|NS||.003|266|.790||NS||.710||NS|
82247|Ex. Brembo|F|NS||.0020|266|.940||NS||.870||NS|
82248|Base|R|NS||.0020|266|.390||NS||.330||NS|
82296||R|NS||.0020|204|.354||NS||.295||NS|
82297||F|NS||.0020|204|.866||NS||.748||NS|
82302||F|.0003||.0030||.984||.937|065|.905||NS|
82303||R|.0003||.0030||.433||.385|065|.354||NS|
82304|W/ 16" Brakes|R|NS||.0003||.472||.421|065|.393||NS|
82305||F|NS||.0002||1.102||1.043|065|1.023||NS|
82306|W/ 17" Solid Disk|R|NS||.0003||.433||.381|065|.354||NS|
82307|W/ 17" Vented|R|NS||.0003||.866||.814|065|.787||NS|
82512|15.75" dia. Disc|F|NS||NS||1.417||NS|098|1.354||NS|
82513|13.00" dia. Disc|F|NS||NS||0.945||NS|098|0.881||NS|
82514|14.72" dia. Disc|F|NS||NS||1.417||NS|098|1.354||NS|
82515|13.58" dia. Disc|R|NS||NS||0.945||NS|098|0.881||NS|
82516|15.59" dia. Disc|R|NS||NS||0.945||NS|098|0.881||NS|
82517|13.7" dia. Disc|F|NS||NS||1.181||NS|098|1.118||NS|
82518|13.00" dia. Disc|R|NS||NS||0.787||NS|098|0.724||NS|
82526|14.56" Grand Turismo|R|NS||NS||0.944||NS|098|0.881||NS|
82527|13.70" Grand Turismo|F|NS||NS||1.417||NS|098|1.354||NS|
82528|14.72" Grand Turismo|F|NS||NS||1.417||NS|098|1.354||NS|
82531|13.0 inch dia. Disc|F|NS||NS||0.944||NS|098|0.724||NS|
82533|13.58" Grand Turismo|R|NS||NS||0.944||NS|098|0.881||NS|
82673|TTRS MODEL|F|NS||NS||1.260||NS||1.181||NS|
82674|W/ RPO 1LJ, 1LL|F|NS||NS||.984||NS||.827||NS|
82676|W/ RPO 1LK, 1LM, 1LN|F|NS||NS||1.181||NS||1.102||NS|
82697|13.30 inch dia. 3.0L|F|NS||NS||1.023||NS|098|0.960||NS|
82698|13.00 inch dia. 2.0L|R|NS||NS||0.787||NS|098|0.724||NS|
82699|13.22 inch dia. 3.0L|R|NS||NS||0.866||NS|098|0.803||NS|
82700|12.75 inch dia. 3.0L|R|NS||NS||0.866||NS|098|0.803||NS|
82701|11.65 inch dia. 3.0L|R|NS||NS||0.393||NS|098|0.330||NS|
82702|11.81 inch dia. 3.0L|F|NS||NS||0.945||NS|098|0.881||NS|
82703|13.38 inch dia. 2.0L|F|NS||NS||1.181||NS|098|1.118||NS|
82704|13.00 inch dia. 2.0L|F|NS||NS||0.945||NS|098|0.882||NS|
82705|13.77 inch dia. 3.0L|R|NS||NS||0.945||NS|098|0.881||NS|
82706|11.81 inch dia. 3.0L|R|NS||NS||0.787||NS|098|0.724||NS|
82707|11.81 inch dia. 2.0L|R|NS||NS||0.787||NS|098|0.724||NS|
82708|11.81 inch dia. 2.0L|F|NS||NS||0.866||NS|098|0.803||NS|
82709|13.70 inch dia. 3.0L|F|NS||NS||1.181||NS|098|1.118||NS|
82710|14.17 inch dia. 3.0L|F|NS||NS||1.181||NS|098|1.118||NS|
82711|13.00 inch dia. 3.0L|F|NS||NS||0.945||NS|098|0.881||NS|
82712|12.28 inch dia. 3.0L|F|NS||NS||0.945||NS|098|0.881||NS|
82793|11.81" Coupe, Conv|R|NS||NS||0.787||NS|098|0.724||NS|
82794|13.70" Coupe, Conv|F|NS||NS||1.181||NS|098|1.118||NS|
82795|13.00" Coupe, Conv|F|NS||NS||0.945||NS|098|0.882||NS|
82796|11.81" Sedan|R|NS||NS||0.787||NS|098|0.724||NS|
82798|12.75" Coupe, Conv|R|NS||NS||0.866||NS|098|0.803||NS|
82799|13.00" Sedan|R|NS||NS||0.787||NS|098|0.724||NS|
82800|11.81" Sedan|F|NS||NS||0.866||NS|098|0.803||NS|
82801|13.30" Coupe, Conv|F|NS||NS||1.024||NS|098|0.960||NS|
82803|13.00" Sedan|F|NS||NS||0.945||NS|098|0.882||NS|
82804|11.81" Coupe, Conv|F|NS||NS||0.945||NS|098|0.882||NS|
82808|13.22" Coupe, Conv|R|NS||NS||0.866||NS|098|0.803||NS|
82811|13.77" Coupe, Conv|R|NS||NS||0.945||NS|098|0.881||NS|
82812|13.38" Sedan|F|NS||NS||1.181||NS|098|1.118||NS|
82815|12.28" Coupe, Conv|F|NS||NS||0.945||NS|098|0.882||NS|
82826|11.65" Coupe, Conv|R|NS||NS||0.393||NS|098|0.330||NS|
82831|14.17" Coupe, Conv|F|NS||NS||1.181||NS|098|1.118||NS|
82874|11.65 inch dia. Disc|R|NS||NS||0.393||NS|098|0.330||NS|
82875|13.22 inch dia. Disc|R|NS||NS||0.866||NS|098|0.803||NS|
82878|13.77 inch dia. Disc|R|NS||NS||0.945||NS|098|0.881||NS|
82880|13.30 inch dia. Disc|F|NS||NS||1.024||NS|098|0.960||NS|
82884|11.81" dia. Disc|F|NS||NS||0.866||NS|098|0.803||NS|
82887|11.81" dia. Disc|R|NS||NS||0.787||NS|098|0.724||NS|
82888|13.39" dia. Disc|F|NS||NS||1.181||NS|098|1.118||NS|
82890|14.56" dia. Disc|R|NS||NS||0.945||NS|098|0.881||NS|
82951|C,W/O WINDENT TYPE B|F|NS||.002||1.260||NS||1.18||NS|
82952|VENTED|R|NS||.002||.709||NS||.650||NS|
82954|W/O INDENTS TYPE A|F|NS||.002||1.10||NS||.984||NS|
82956|W/ INDENTS TYPE B|F|NS||.002||1.26||NS||1.18||NS|
82957|C, W/ WINDENT TYPE A|F|NS||.002||1.100||NS||.984||NS|
82981|Coupe W/ Code 952|F|NS||NS||1.102||1.04||1.02||NS|
82983|Sedan W/O Code 952|F|NS||NS||1.102||1.02||.999||NS|
82984|Coupe W/O Code P53|F|NS||NS||1.102||1.02||.999||NS|
82985|Coupe W/ Code P53|F|NS||NS||1.102||1.04||1.02||NS|
82986|Coupe W/O Code 952|F|NS||NS||1.102||1.02||.999||NS|
82987|Sedan W/ Code 952|F|NS||NS||1.102||1.04||1.02||NS|
82988|Sedan W/O Code 950|F|NS||NS||1.102||1.02||.999||NS|
82989|Coupe W/O Code 494|F|NS||NS||1.102||1.02||.999||NS|
82990|Coupe W/ Code 950|F|NS||NS||1.102||1.04||1.02||NS|
