RecNo|Submod|Appl|FTorq|RTorq|Note
66083|W/ V-8|BK|30|30|121
66085|W/ V-6|CB|20|20|
66114||BK|58-72|47-54|
66265|w/ V-8|CB|27||179
66269|w/ V-6|CB|27||179
66292|W/ 1LA,1ZB,1ZT,1LJ|CB|22||178
66305||CB|41||561
66307|W/ 1LB,1LC,1LE,1LP|BK|145||
66350|W/ WAF 13|CB|26|26|
66352|W/ WAF 7|CB|22|26|
66488||CB|21|22|
66507|Single Piston Rear|CB||32|
66577||BK|155||181
66579||BK||96|097
66632||BK|130|120|
66674|Rear Upper Bolt|BK||163|
66678||BK|163||
66680|Rear Lower Bolt|BK||190|
66728||CB|53|16|
66853||BK|85|50|
66957||BK|61-74|45-56|
66961||BK|60-75|49-56|
66976||BK|69-74|38-48|
66977||CB|17-22|17-22|
67024||CB|37|37|
67041||BK|61.5|31.5|
67257||BK|103||623
67293|Base|BK|58-72|58-72|
67295|Base|CB|16-23|16-23|
67297||CB|||382
67299||BK|65-76|65-76|382
67408||BK|81|48|178
67446||CB|18-22||178
67484||BK|110|NS|
67486||BK|101|42|
67653|ex. Type S|CB|—||
67664|ex. Type S|BK|—||
67668|Type S|CB|37||
67711||BK|59|48.7|
67716||CB|19.9|19.9|
67734||BK|98||
67814|SRT8|BK|140|85|
67826||BK|125||391
67839|C38|BK|NS|66|121
67841|North Edition|CB|32|32|
67846||CB|32|32|391
67849|C41|CB|NS|26|
67851|North Edition|BK|125||
67879||CB|21|20|
67884||BK||74|158
67889||BK|111||188
67895|W/ V8|BK|133|94|
67900|W/ V8|CB|27|25|
67905|W/ V6|CB|27|25|
67910|W/ V6|BK|133|94|
68045|1LA W/ FBC 16" Calip|CB|22|26|
68051||BK|140|74|351
68056|1LJ W/ FBC 17" Calip|CB|22|26|
68061|1LT W/ FN3 Caliper|CB|22|26|
68069||BK|145|74|315
68074||BK|145|74|346
68234|GTS Sportback|CB|28-36|NS|
68241|GTS Sportback|BK|67-81|39-44|
68251|DE|BK|67-81|39-44|
68256|DE|CB|28-36|NS|
68261|SE|CB|28-36|NS|
68267|ES|BK|67-81|39-44|
68272|SE|BK|67-81|39-44|
68277|GTS|BK|67-81|39-44|
68282|Ralliart|BK|67-81|39-44|
68287|ES|CB|28-36|NS|
68292|Ralliart|CB|48-62|NS|
68297|Evolution|CB|NS|NS|
68302|GTS|CB|28-36|NS|
68304||BK|140|92|
68351|W/ Vin L|BK|140|92|
68356|W/ Vin L|CB|20|20|
68361||BK|125|74|364
68367||CB|32|32|364
68513||BK|125-169||
68517||BK|136|122|
68582|W/ RPO JE5|BK|170|100|
68587|W/ RPO J56|CB|24|24|
68592|W/ RPO JE5|CB|46|44|
68597|W/ RPO J55|CB|46|44|
68602|W/ RPO J55|BK|170|100|
68607|W/ RPO J56|BK|129|96|
68976||BK|88|88|
69037|W/ 16" Brakes|CB|44|22|
69042|W/ 17" Brakes|CB|NS|26|
69047|W/ 16" Brakes|BK|77|26|158
69052|W/ 17" Brakes|BK||26|158
69092||BK|76|57|
69162|W/ Brembo Brakes|BK|140|60|
69180||CB|25-30|25-30|
69218||BK|58|48|
69223|W/ 6 piston caliper|CB|22|-|
69233|W/O 6 piston caliper|CB|-|-|
69295|W/ 15.0" disc|CB|-|26|
69301|W/ 14.2" disc|CB|26|26|
69399|W/O Brembo Brakes|BK|90-120|40-52|
69414||CB|38||539
69424||CB||23|
69430||CB|38||288
69527||BK|184|140|
69531||CB|27|28|
69730||BK|107|62|
69760||CB|41|26|178
69777||CB|37|26|
69784||BK|129|NS|
69802|Hybrid|CB|37|37|
69808|Hybrid|BK|129|129|
69809|2 Piston|BK||62|
69815|1 Piston|BK||62|
69821|4 Piston|BK|103||
69828|2 Piston|CB|34|NS|
69834|1 Piston|CB||32|
69839|2 Piston|BK|98||785
69851|4 Piston|CB|NS||
69950||CB|46|46|195
69969|2 Piston|CB|20|NS|
69981|4 Piston|BK|98||
70115||BK|58-71||
70237||BK|89|41|
70256|4 Matic|CB|18|18|
70270|4 Matic|BK|85|85|
70276||CB|18|18|516
70293||CB|41|20|
70299||BK|148|89|
70307||CB|27|22|
70313||BK|184|122|
70456||BK|88.5|49|
70538||CB|22|26|346
70550||CB|22|26|351
70557||CB|22|26|315
70773||CB|22||178
70788||CB|-|18|
70800||CB|47|23|
70814||BK|140|66|121
70827||CB|-|65|
70828|Standard Brakes|CB|43|21|
70840||CB|43|21|593
70975||BK|140|66|323
70983||BK|140|66|329
70989|1ZA W/ FN3 Caliper|CB|22|26|
70995||BK|122|116|
70996|1ZC W/ FN3 Caliper|CB|22|26|
71000||CB|53|20|
71002|1LJ W/ FN3 Caliper|CB|22|26|
71005||BK|61-74||
71008|1ZM W/ FN3 Caliper|CB|22|26|
71014||BK|140|66|331
71018||BK|NS|63|
71020||BK|140|66|338
71023||BK|61.5|63|
71028||CB|21|26|506
71034||BK|140|66|299
71040||BK|144|66|314
71046||BK|140|66|335
71052|1ZD W/ FN3 Caliper|CB|22|26|
71058|1ZF W/ FNR Caliper|CB|21|26|
71064|1ZF W/ FS111 Caliper|CB|22|26|
71069||BK|144|66|344
71076||CB|22|26|360
71081||BK||66|310
71088||CB|22|26|393
71094||BK|140|66|300
71122||BK|136|78|
71125|W/ J92, JD9|CB|74|38|
71133|W/ J92, JD9|BK|129|148|
71140|W/ JF3, JF7|BK|129||
71146|W/ JF3, JF7|CB|74||
71153||BK|221|221|372
71160||CB|77|77|372
71240||BK|145|74|297
71245|W/ JD9|CB||38|
71369|1LM W/ Brembo|BK|145|103|
71375|1LN W/ Ceramic|BK|145|103|
71381|1LJ W/2 FNR 42 Calip|BK|140|103|
71387|1LJ W/2 FNR 42 Calip|CB|22|26|
71393|1LM W/ Brembo|CB||26|
71399||CB|22|26|556
71405||BK|145|103|562
71410||CB|22|26|562
71416|1LD W/ FNR G60 Calip|BK|145|103|
71422||BK|145|103|556
71430|1LN W/ Ceramic|CB||26|
71436|1LD W/ FNR G60 Calip|CB|22|26|
71442|1LT W/ FN3 Caliper|BK|140|103|
71453|1ZL W/ FNR G60 Calip|CB|22|26|
71459|1ZL W/ FNR G60 Calip|BK|145|103|
71562|1LJ W/ FNR 42, 18"|CB|22|26|
71568||BK|140|103|555
71575|1LW W/ Ceramic|CB||26|
71581|1LW W/ Ceramic|BK|140|103|
71586||BK|140|103|505
71592||CB|22|26|555
71598|1LJ W/ FNR 42, 18"|BK|140|103|
71604|1LM W/ FNR 42, 17"|CB|22|26|
71610|1LL W/ FNR 42, 17"|CB|22|26|
71616|1LM W/ FNR 42, 17"|BK|140|103|
71622||CB|22|26|505
71628|1LL W/ FNR 42, 17"|BK|140|103|
71683|W/ FSIII|BK|140|NS|
71694|W/O  FSIII|BK|140|66|121
71701|W/O  FSIII|CB|22|26|
71706|W/ FSIII|CB|22|NS|
71719||CB|17|17|
71989||BK|||392
71995|FN3 W/16" Caliper|CB|22||
72002||CB|22||392
72008|FN3 W/15" Caliper|CB|22||
72012||CB|20|32|368
72015|FN3 W/15" Caliper|BK|140||
72017||BK|98|62|541
72021|FN3 W/16" Caliper|BK|140||
72034|FNR-G|BK|148||
72036|1LN W/ FNR G57|CB|22|26|
72040||CB|22|26|507
72042|FNR-G|CB|11||
72048||BK|140|66|357
72049|W/ FNR-G|CB|22|NS|
72052||BK|140|66|324
72055|W/CII 38 or CII 41|BK||66|121
72056||CB|22|26|357
72059|W/ FN3|BK|148|NS|
72061||BK|140|66|325
72063|W/CII 38 or CII 41|CB||26|
72065||BK|140|66|354
72067|W/ FN3|CB|22|NS|
72068||CB|22|26|546
72070|W/ FNR-G|BK|140|NS|
72239||BK|147|66|121
72262||CB|22|32|
72279||BK|58-72|36-44|
72376|1LC W/ Brembo 17"|BK|199||
72380|1KF W/ Brembo 17"|BK||132|
72383|1LF W/ Brembo 18"|BK|199||
72386|1LA W/ Brembo 17"|BK|199||
72389|1LE W/ Brembo 17"|BK|199||
72392|1KQ W/ Brembo 17"|BK||132|
72395|2EE W/ Brembo 17"|BK||132|
72478||BK|59-74|59-74|
72615||BK|98|76|
72618||CB|65|24|
72662||BK|114.5|44.5|
72711||BK|104|63|178
72727|W/ 1LN, 1LX, 4FS|BK|145||178
72731||CB|41||607
72734||BK|145||606
72737|W/ 2EM, 1KU|CB||26|178
72738||BK|58-72|58-72|605
72740|W/ 1LW|BK|145||178
72741||BK|58-72|58-72|279
72743||CB||26|610
72744||CB|16-23|16-23|605
72746||BK||74|611
72747||CB||16-23|279
72749||CB|41||617
72752||BK|145||618
72755|W/ 2EM, 1KU|BK||74|121
72789|CII 41 W/16" Caliper|BK||66|121
72792|FN3 W 16" Caliper|CB|22||
72795|CII 41 W/16" Caliper|CB||26|178
72798|FN3 W 16" Caliper|BK|148||
72911|W/ 1KD, 1KQ|CB||26|
72915|W/ 2EA, 1KW|CB||26|
72917||BK||66|309
72920|W/ 1ZF 1ZE, 1ZP|CB|22||
72925||BK||66|306
72929||BK|144||544
72933|W/ 1LJ, 1ZD,1ZA|BK|144||
72937|W/ 1LJ, 1ZD,1ZA|CB|22||
72940|W/ 1KZ, 1KE, 1KF,1KJ|CB||26|
72944||BK||66|355
72948|W/ 1ZC, 1ZM|CB|22||
72952|W/ 1ZF 1ZE, 1ZP|BK|140||
72956||BK||66|308
72960||CB|22||544
72964|W/ 1ZC, 1ZM|BK|144||
72965|W/ Brembo Calipers|BK|199|133|
72970|W/ 1KF, 1KJ, 1KU|CB||26|
73090||BK||74|327
73099|W/ 1KW, 1KE,1KP,GP0|CB||26|
73102|W/ 1LA, 1LJ/1ZT|CB|22||
73105|W/ 1LB,1LD|BK|144||178
73110|W/ 1LM|BK|144||178
73113|W/ GP1,GP2,2ED,1KZ|CB||26|
73117|W/ 1LB,1LD|CB|22||
73121|W/ 1LA, 1LJ/1ZT|BK|144||178
73125||BK||74|343
73146||BK|67-81|38-44|
73222||BK|129|80|
73247||BK|129|129|157
73251|PPV|CB|20|20|
73254|PPV|BK|30|30|141
73283||BK|129|74|
73320|W/ RPO LLT|CB|20|20|
73324|W/ RPO L99, LS3|BK|30|30|121
73327|W/ RPO LLT|BK|30|30|121
73393||CB|31|20|587
73396||BK|140|85|577
73475||BK|59-74|38-48|
73490||CB|74|28|
73492||BK|148|122|
73582|W/ RPO JL9|CB|27|25|
73584|W/ RPO J55|BK|181|120|
73586|W/ RPO J55|CB|83|46|
73588|W/ RPO JL9|BK|133|94|
73603|W/Hex Head Bolts|CB|26|26|178
73605|W/Socket Head Bolts|CB|22|22|178
73607||BK|81||248
73866|W/ 1LG, 1LD,1LZ, 1LH|BK|144||
73868|W/ 1LG, 1LD,1LZ, 1LH|CB|22||
73870|W/ 1LT, 1LJ|CB|22||
73872||CB||25|568
73876||BK||103|568
73903||CB|19-28|16-23|
73905||BK|54-61|47-54|
73938||BK|144||589
73939|W/ 1KW, 1KE,2EH,1KP|BK||74|220
73941|W/ 1LM|BK|144||220
73943|W/ 1LT,1LY|BK|140||220
73944||CB|22||590
73945|W/ 1KZ|BK||74|220
73947|W/ GP0,GP1,GP2,2ED|BK||74|220
73948|W/ 1LA, 1LJ/1ZT,1LD|BK|144||220
73949|W/ 1LA, 1LJ/1ZT,1LD|CB|22||
73997||CB|80|25|551
73998|JH9|BK|221|211|
74001|JH9|CB|80|45|
74032||BK|63|63|178
74103|W/ 1LJ, 1LL|BK|147||
74105|W/ 1LK, 1LM, 1LN|BK|147||
74112||BK||66|143
74117|W/ 2ED,1KZ|CB||26|
74119||BK||74|356
74120|W/ 1LB,1LD|BK|144||220
74124|W/ 1LA, 1LJ/1ZT|BK|144||220
74128|W/ 1KP,GP0,GP1,GP2|CB||26|
74130||BK||74|303
74135|W/ 1KW, 1KE,2EH|CB||26|
74138||BK||74|350
74150||BK|55|55|249
74154|W/ SW7 Thread|CB|22-26||178
74161|W/ SW9 Thread|CB|40||178
74211|W/ RPO JH6|CB|74|28|
74213|W/ RPO J92, JD9|BK|148|74|
74216|W/ RPO JH6|BK|148|74|
74219|W/ RPO J92, JD9|CB|74|28|
74221||BK|111|74|257
74455||BK|100|77|
74644||BK|111|74|158
74647||CB|20|20|188
74703||BK|74|48|
74809|5.0L W/ Supercharger|CB|85|76|
74816|5.0L W/ Supercharger|BK|43|21|
74825|5.0L W/O Supercharge|BK|43|21|
74832|5.0L W/O Supercharge|CB|85|76|
74854||BK|103||390
74860||CB|20|20|389
74866|9650 Series|BK||74|158
74871|9650 Series|CB|21|22|
74876||BK||59|389
74924||BK|129|52|
75043||BK|74|74|209
75050||CB|22|22-26|178
75066||BK|140||365
75074|W/ JD9|CB|74|38|
75077||BK|140||532
75083||CB|22||532
75089|CI 38|CB||26|
75100|W/ JD9|BK|129|148|
75102||CB|22||365
75112||BK||66|317
75117|CI 41|CB||26|
75122||BK||66|332
75200||BK|81|74|
75269||BK|77|65|
75283||BK|90|62|
75399|W/ Bosch Caliper|CB||25|
75420|C38 W/15" Caliper|BK||66|121
75427|W/ Bosch Caliper|BK||66|121
75428||BK|101|79|
75439|C38 W/15" Caliper|CB||25|
75459||CB|41|22-26|178
75736|W/ RPO J60|CB||20|
75745|W/ RPO J60|BK||74|158
75753|W/ SW9 Thread|CB|40|26|178
75759|W/ RPO J61|BK||74|158
75766|W/ SW7 Thread|CB|22-26|26|178
75770|W/ RPO J61|CB||20|
75992|W/ RPO J92, JD9|BK|148|122|
75995|GT Sportback|CB|28-36|NS|
75998|W/ RPO JH6|BK|148|122|
76002|SE Sportback|CB|28-36|NS|
76029|GT|BK|67-81|39-44|
76039|GT Sportback|BK|67-81|39-44|
76097|GT|CB|28-36|NS|
76104|SE Sportback|BK|67-81|39-44|
76272||BK|59||154
76277||CB||48|591
76282|M8 Bolt|CB|25|24|
76287||BK|||
76342||CB|26|22-26|178
76679|JH9|BK|221|221|
76930||CB|NS|24|541
76935||CB|25|24|368
77235|W/ 1KW, 2EA|CB||26|178
77240|W/ 1LT, 1LJ|BK|144||178
77245||BK||74|378
77250||CB|40||617
77254|W/ 1LA, 1LJ|CB|22||
77260||BK|144||618
77408|SRT8|BK|140|98|
77411|18" Premium Brakes|CB|44|23|
77415|17" Base Brakes|CB|44|23|
77419|17" Base Brakes|BK|140|98|
77430|18" Premium Brakes|BK|140|98|
77565|Built Before 8/30/12|BK|140|98|
77571|Built After 8/30/12|BK|121|98|
77611||BK|144|89|
77660|2500 Series|CB|221|148|
77738|Nissin|CB|37|17|
77744||CB|25|17|552
77841||CB|53|25|
77857|W/ BREMBO BRAKES|CB|||
77860|W/O BREMBO BRAKES|CB|16-23|16-23|
77863|W/O BREMBO BRAKES|BK|58-72|58-72|
77866|W/ BREMBO BRAKES|BK|65-76|65-76|
77963|C|BK|58|58|237
77966|C|CB|28|18|
77971||BK|58|48|237
77982|C|CB|25|18|
77990||CB|NS|18|
78002||BK|58|40|237
78008|W/ 6 PISTON|CB|22|NS|
78011|W/O 6 PISTON, W/ 13"|CB|NS|NS|
78014|W/O 6 PISTON, W/ 14"|CB|NS|NS|
78066|WRX|CB|20|20|
78067|WRX STI|CB|20|20|
78068||BK|59||
78069|WRX|BK|59|49|
78129||BK|79|53|
78300||CB|21|25|
78301||BK|77|42|
78310|W/ Brembo 17"|BK|199||
78316||BK||22|252
78320|W/ Brembo 18"|BK|22||141
78323|W/ Brembo 17"|CB|NS|NS|
78327|W/ Brembo 18"|CB|NS|NS|
78349||CB|25|17|516
78352|4WD|CB|37|17|
78398||BK||66|141
78402||BK|111|111|
78404||CB|45|45|
78554||BK|140||
78568||BK|100|92|
78594|SRT8|BK|NS|98|
78595|Base|BK|121|98|234
78613|2 Piston|BK|91|62|
78717||CB||18|240
78769||BK||58|243
78920|Rear Upper Bolt|BK||190|
79111|W/ RPO L99, LS3, LSA|BK||30|121
79113|W/ RPO LSA|BK|30||121
79115|W/ RPO L99, LS3|BK|30||121
79117|W/ RPO LSA|CB|24||
79119|W/ RPO LFX|BK|30|30|121
79121|W/ RPO LFX|CB|20|20|
79454|17" Base Brakes|BK|85|85|
79460|18" Premium Brakes|BK|85|85|
79578||BK|80|55|
79582|Hybrid|CB|17||
79584|Hybrid|BK|80||
79612||BK|68-81|38-48|
79614||CB|23-28|17-22|
79667|W/ 15.0" Disc|CB|NS|26|
79690||CB||16-23|
79766||BK|88.5|48.7|
79898|2500 W/ JC5/JH5|BK|221|148|
79902||BK|129|148|570
79918|1500 Series|CB|74|31|
79925|1500 Series|BK|133|148|
79929|2500 Series|BK|221|221|
79930|2WD PRERUNNER|BK|90||
79997|W/ 1LJ, 1ZD, 1ZA|BK|140||
80001|W/ 1KJ, 1KU|CB||26|
80005|W/ 1LJ, 1ZD, 1ZA|CB|22||
80009|W/ 1ZC, 1ZM|BK|140||
80017|W/ 1ZE, 1ZP|CB|22||
80021||BK|140||396
80031|W/ 1ZE, 1ZP|BK|140||
80036|W/ 1KJ, 1KU|BK||66|141
80040|W/ 2EA, 1KW|BK||66|141
80049||CB||26|574
80054||CB|22||396
80068||BK||66|301
80094|W/ RPO J64|CB|30|30|121
80099|W/ RPO J64|BK|111||188
80114|W/ RPO J61, J64|BK||74|158
80119|W/ RPO J60, J61|BK|111||188
80124|W/ RPO J60, J61|CB|20||
80136||BK|129|48|
80139||BK|111||230
80144||BK||74|231
80175||BK|122|76|
80180||CB|55|24|
80193|W/ AWD 17" Rotor|BK||66|121
80194|EV|CB|21|21|
80198|TTRS|BK|147||178
80202|EV|BK|70|41|
80220||CB||26|519
80226||BK||66|520
80231|W/ AWD 16" Rotor|CB||26|
80236|TTRS|CB|NS||
80249|W/ 1KW, 1KE,2EH|CB||26|220
80264|W/ 1KP,GP0,GP1,GP2|CB||26|220
80265|W/ RPO JPW, J97|CB|20||
80269|W/ 2ED,1KZ|CB||26|220
80270|W/ RPO J93, J94|CB|21||
80275|w/1.5L|BK|80||
80280|w/2.0L|BK|80||
80284|w/2.0L|CB|25||
80300|w/1.5L|CB|17||
80307|w/2.4L|BK|80||
80310|w/2.4L|CB|25||
80341|W/ 1KW,1KE,2EH,1KP|CB||26|220
80346||BK||74|321
80404|W/ 6 Piston Caliper|BK|85|76|153
80410||BK|85|76|540
80415|W/ 6 Piston Caliper|CB|NS|24|
80429||BK|85|76|368
80456|w/ 13 Inch rotor|CB|53|24|
80463|w/ 14 Inch rotor|CB|55|24|
80471||BK|122|76|178
80699||BK|460|460|
80707||CB|98|98|
80835||CB|-|16-23|
80864|W/O HSV Package|BK||81|
80870|W/O HSV Package|BK|44||171
80876|PPV|BK|30|30|121
80889|W/O HSV Package|CB|31|31|
80895|W/ HSV Package|CB|31|31|
80901|W/ HSV Package|BK|96|81|
81006|W/ 1LW,1LN|BK|145||178
81010||BK||74|374
81015||BK||74|376
81022||BK|145||557
81026||CB||26|374
81032|W/ 1KU,1KK|CB||26|178
81039|W/ 1LM+1LX|BK|145||178
81046||BK||74|254
81047||CB|48|18|
81052|W/ RPO J55|BK|111||181
81061|W/ RPO JE5|CB|21||
81068|W/ RPO JE5|BK|111||181
81230||BK|133|84|211
81268||BK|133|81|571
81274||CB|22|NS|571
81278|W/ RPO Code B07|CB|NS|NS|
81284|W/ RPO Code B07|BK|133|81|
81339||BK|91|62|
81433||BK|85|81|
81439|M8X70 Bolts|CB|21|21|
81444||CB|25|21|592
81449||BK|85|81|153
81455||CB||21|
81491||CB|21|20|569
81498|J62 Caliber|CB|21|24|
81517|W/O Code P31|BK|56|44|097
81524||CB|41||
81531|W/ Code P31|BK|59|44|097
81616|4 Piston|BK|91||
81828||BK|184|111|
81834||CB|27|24|235
82054|W/ RPO J56|BK|96|88|
82060|W/ RPO JE5, JL9|CB|24|44|
82065|W/ RPO J56|CB|NS|NS|
82071|W/ RPO JE5, JL9|BK|96|88|
82121||CB|19.2|19.2|178
82128||BK|59|48.7|178
82169||CB|34||368
82176||BK|98|62|368
82181||BK||62|518
82187||BK|98||541
82193||CB|32||518
82199||CB|-||541
82235|1 Piston & 2 Front|BK||62|
82241|1 Piston & 2 Front|CB||32|
82246|1 Piston|CB|20|32|
82251|1 Piston|BK|91|62|
82256|1 Piston & 1 Front|BK||62|
82262|1 Piston & 1 Front|CB||32|
82337|W/ 2.0L|BK|81|22|233
82349|W/ 3.0L|CB|22|22-26|178
82354||BK|81||513
82366|W/ 2.0L|CB|21|21|178
82512|GT|CB|48-62|28-36|
82522|ES|CB|48-62|28-36|
82538|Ralliart|BK|67-81|38-48|
82543|DE|CB|48-62|28-36|
82563|SE|CB|48-62|28-36|
82636|W/o Grand Turismo|CB|22-26|26|178
82643|Grand Turismo|CB|40|26|178
82919|W/ 11.57"|BK|81||
82926|W/ 12.08"|BK|81||
82932|W/ 12.08"|CB|26||
82937||BK||74|
82949|W/ 11.57"|CB|26||
82972|FN3|BK|140|66|121
82978|FN3|CB|22|26|
83021||BK|59|49|
83029||BK|67-81|NS|
83035||CB|18-22|NS|
83284||BK|100|40|
83290||BK|100|48|
83298|C|BK|100|48|
83396||CB|NS|21|
83564||CB||18|239
83583|GT|CB|28-36|28-36|
83662|W/O Code B07|BK|133|81|
83668||BK|NS|81|599
83673|W/O Code B07|CB|NS|NS|
83678||CB|NS|NS|599
83704|18" Base Brakes|CB|44|23|
83708||BK|121|98|359
83712||BK|121|98|358
83723||CB|40|26|
83736|Rear Upper Bolt|BK||460|
83740|Rear Lower Bolt|BK||460|
83741||CB|28-36|24-28|
83744||BK|460||
83745||BK|67-81|38-48|
83797|M8X70 Bolts|CB|18|21|
83821||CB|26|22|
83825||BK|81|22|247
84158|W/ J60, J61|BK||74|202
84162|W/ J60, J61|CB||20|202
84369||BK||66|247
84379|GT|CB|25|24|
84382|Boss|CB|NS|24|
84384|Base|BK|85|76|
84387|Base|CB|25|24|
84389|GT|BK|85|76|
84832|14'' Inch|BK|122|76|
84834|W/ RPO 1LA, 1LJ|BK|144||
84838||BK|122|76|573
84840|W/ RPO 1LL|BK|144||
84843|14'' Inch|CB|55|24|
84846|W/ RPO 1LL|BK||73|141
84849||CB|53|24|573
84851|W/ RPO 1LA, 1LJ|CB|22|26|
84857|W/ RPO 1LA, 1LJ|BK||73|141
84864|W/ RPO 1LL|CB|40|26|
84898|Ex. Limo|CB|55|24|
84903|Limo|BK|122|140|178
84913|Ex. Limo|BK|122|76|178
84918|Limo|CB|55|28|
84949|SRT8|CB|24|20|
85225|Four Piston Front|BK|92||
85230|Twin Piston Front|BK|91||
85473||BK||81|241
85480||CB|NS|26|
85486|W/ RPO Code B07|CB|18|26|
85492||BK||81|571
85498||CB|22|26|571
85503||BK|59||572
85730||BK|81|48|269
85734|W/Hex Head Bolts|CB|26|23-28|269
85740|W/Socket Head Bolts|CB|22|22-26|269
85794|WAF 13|CB||26|178
85796||CB|21|21|178
85800||BK|81|30|247
85802|SW 7 Thread|CB|22-26||
85808|SW 9 Thread|CB|41||
85812||BK|258|295|
85829||BK|129|46|
85911|10.19 inch dia. Disc|CB||22|
85915|FNIII 16" Caliper|BK|147||
85920|10.19 inch dia. Disc|BK||22|247
85926|FNIII 15" Caliper|BK|91||
85927|11.02 inch dia. Disc|BK|81|22|247
85934|12.44 inch dia. Disc|BK|81||178
85940|FNIII 15" Caliper|CB|22||
85943|11.57 inch dia. Disc|CB|26||
85947|FNIII 16" Caliper|CB|22||
85949|11.57 inch dia. Disc|BK|81||178
85955|11.02 inch dia. Disc|BK|81||178
85961|12.44 inch dia. Disc|CB|26||
86031||CB|19|19|
86747|W/ 1LJ, 1LL|CB|148||178
86759|W/ TTRS Model|BK|NS||
86784|W/ 1LK, 1LM, 1LN|BK|22||
86792|W/ TTRS Model|CB|NS||
86804|W/ 1LJ, 1LL|BK|22||
86810|W/ 1LK, 1LM, 1LN|CB|148||178
86915|4WD|BK|91||
86921|2WD PRERUNNER|BK|91||
87040|W/ 3.0L|CB|22|23-28|178
87174|Coupe, Conv|BK|81||248
87180||BK|81|30|375
87185|Coupe, Conv|CB|22|23-28|178
87203||CB|21|21|527
87248|Coupe, Conv|BK|81|81|178
87264||BK|81|30|528
87288||CB|22|23-28|178
87304||BK||22|121
87319|WAF 7|CB||22-26|
87429|W/ 11.70" Rotor|CB|25||
87434|W/ 10.83" Rotor|BK|79||
87440|W/ 10.83" Rotor|CB|25||
87445|W/ 11.70" Rotor|BK|79||
87451||BK||65|
87825||BK|111|66|
87830||CB|22|21|
87854|Center support bolt|CB|22|22|
88251||BK|130|142|
88374||BK|111|66|178
88495|WAF 7 Thread|CB|22|22-26|269
88558|W/ 6 Piston Caliper|BK|85|129|153
88636|M8 Bolt|CB|25|23|
88858||BK|260||
88916|W/ RPO J64|BK||74|181
88919|W/ RPO J55|BK|129|125|
88923|W/ RPO J55|CB|46|20|
88926|W/ RPO J64|CB|111||181
88929|W/ RPO J64|CB||20|
88932|W/ RPO J64|BK|||253
89026||BK||86|109
89100||CB|56|55|
89283||BK||73|141
89285||BK|144||
89400||BK|208|88|
89771||BK|162||548
89774||CB|||547
89789|W/ RPO J57|BK|30|30|121
89792|W/ RPO J56|BK|30||121
89795|W/ L99, LFX|CB||20|
89798|W/ RPO LFX|CB|20||
89801|W/ RPO J57|CB|24||121
89804|W/ RPO LFX|BK|30||121
89807|W/ RPO LFX, L99|BK||30|121
89811|W/ RPO LS3, J56|BK||30|121
89814|W/ RPO J56|CB|24||
89906|W/ GP1,GP2,2ED,GP0|CB||26|220
89913|W/ 1LA,1LJ/1ZT|BK|144||220
89917|W/ 1LA,1LJ/1ZT|CB|22||
89929|W/ GP1,GP2,2ED,GP0|BK||74|220
90812||BK|170|148|
90814||CB|74|38|
90921||BK|74|74|256
91088|W/ Brembo brakes|BK|65-76|58-72|
91093||BK|118|74|
91183||BK|30|30|121
91273||BK|144|66|395
91384||BK|145|66|344
91416||BK|145|66|314
91436|S Convertible|CB|26|26|269
91442|S Coupe|BK|81|48|269
91448|S Roadster|BK|81|48|269
91454||CB|26|26|292
91459|Coupe|CB|26|26|269
91465|Clubman|BK|81|48|269
91470|Roadster|CB|26|26|269
91472||BK|52|52|
91477||CB|19|26|
91480|Coupe|BK|81|48|269
91485|S|CB|26|22|178
91496|S Roadster|CB|26|26|269
91501||BK|81|48|292
91508|S|BK|81|22|247
91514|S Coupe|CB|26|26|269
91517||BK||66|336
91528|S Clubman|CB|26|26|269
91534||BK||66|342
91539|W/ 1KF|CB||26|
91556|SW 9 Thread|CB|41|26|178
91558|Clubman|CB|26|26|269
91562|SW 7 Thread|CB|22-26|26|178
91567|S Convertible|BK|81|48|269
91578|SW 7|CB|22-26||178
91583|SW 9|CB|40||178
91586|Roadster|BK|81|48|269
91596|S Clubman|BK|81|48|269
91599|C|BK|100|92|
91679|W/ 1LM|BK|145||
91737|WAF 7 Thread|CB||22-26|178
91742|SW9 Thread|CB|40||178
91751|WAF 13 Thread|CB||26|178
91755|SW7 Thread|CB|22-26||178
91763|SW 9|CB|41||178
91779|WAF 7|CB||22-26|178
91902|W/ 14"|CB|55|24|
91912|W/ 13"|CB|53|24|
92021||BK|111|74|097
92053|W/ Performance Brake|CB|22||
92056|SW 9 Thread|CB|41||178
92058|W/ Standard Brakes|BK|202||
92063|W/ Standard Brakes|CB|26||
92069||BK||88|
92074|W/ Performance Brake|BK|208||
92229||CB|20-22|17-19|
92244||CB|NS|65|178
92249||BK|73|70|178
92252||CB|25|18|286
92256|W/ M8 x 70 Bolts|CB|18|18|
92295||CB||26|268
92469|F23 W/ 11.18" Rotor|BK|81||178
92475|F23 W/ 13.58" Rotor|CB||21|
92481|F22 W/ 11.42" Rotor|BK||22|746
92488|F23 W/ 12.28" Rotor|BK|81||178
92494|F23 W/ 13.58" Rotor|BK||22|746
92499|F22 W/ 12.28" Rotor|CB|21||
92523|F22 W/ 11.42" Rotor|CB||21|
92530|F22 W/ 11.81" Rotor|CB||21|
