RecNo|Submod|Appl|FTorq|RTorq|Note
41551||BK|51-63|51-63|
41554||BK|61-68|61-68|
41560|W/ 2.0L|BK|51-54|NA|
41564||CB|18-24|18-24|
41566|W/ 1.8L|BK|33-49|NA|
41570||BK|18-24||
41599||BK|81|58|
41702||BK|37-50|37-50|
41705||CB|58-65|26-28|
42032||BK|80|59|113
42089|Lower Bolt|CB|36.5||
42095|Upper Bolt|CB|61.5||
42116|Upper Bolt|CB|37||
42120|Lower Bolt|CB|62||
42402||BK|110|148|
42409||CB|31|23|
42635||BK|66-80||
42684||BK|133|81|
42695|As Of 9/2002|BK|85|85|
42697||BK|84|41|
42700||BK||63|109
42730||BK|100|NS|
42747|SERIES I|CB|NS|NS|
42752|SERIES II|BK|129|70|
42760|SERIES I|BK|NS|NS|
42765|SERIES II|CB|22|22|
42773||BK|78||
42790||CB|28|32|605
42800|4-Cyl|CB|54|32|
42826||CB|28|32|
42830||BK|74-81||
42844||BK|83|74|
42849||CB|66|33|
42870|W/ 2.4L|BK|53-72||
42875|W/ 3.3L|BK|116-144||
42963||BK|133|89|
42968||CB|85|23|
42999|Plus 45 Degrees|BK||96|
43004||BK|155||508
43014||BK|45|45|
43069||BK|70|59|
43073||CB|22|-|
43082||CB|22|NS|
43096||BK|59|39.1|
43100||CB|19.5|27.5|
43144||CB|28.9|28.9|
43250||CB|25.5||
43286||CB|36.5||
43301||CB|91||706
43308||CB|65||595
43380||CB|25||079
43382||BK|130||
43385|4WD|BK|79|44|
43391||BK|79|44|516
43407||BK|79|44|
43461|Convertible|BK|80|46|
43478|2WD S-Runner|BK|80||
43484|2WD S-Runner|CB|65||
43534||BK|83|65|
43537||CB|NS||
43790||CB||80|550
43794|JH5|BK|129|148|
43801|W/ FN3 Caliper|BK|92|48|
43805|W/ FN3 Caliper|CB|21|26|
43806||BK|221|221|550
43809|W/ FS II Caliper|CB|22|26|
43810|JH5|CB||31|
43893||BK|129|148|
43918|NYS|BK|221|148|
43935|JH7|BK|221|221|
43937||BK|74|37|
43984||BK|75|75|
